area,rate,state,,,,,,,,
Cairns and Hinterland,9.2,Qld,,,,,,,,
Central Queensland,8.9,Qld,,,,,,,,
Central West,17.7,Qld,,,,,,,,
Darling Downs,11.9,Qld,,,,,,,,
Gold Coast,7.3,Qld,,,,,,,,
Mackay,9.3,Qld,,,,,,,,
Metro North,8.4,Qld,,,,,,,,
Metro South,7.7,Qld,,,,,,,,
North West,9.9,Qld,,,,,,,,
South West,6.2,Qld,,,,,,,,
Sunshine Coast,7.4,Qld,,,,,,,,
Torres and Cape,17.9,Qld,,,,,,,,
Townsville,8.6,Qld,,,,,,,,
West Moreton,12,Qld,,,,,,,,
Wide Bay,6.5,Qld,,,,,,,,
Sydney,8.8,NSW,,,,,,,,
South Western Sydney,8,NSW,,,,,,,,
South Eastern Sydney,7.1,NSW,,,,,,,,
Illawarra Shoalhaven,7.1,NSW,,,,,,,,
Western Sydney,10,NSW,,,,,,,,
Nepean Blue Mountains,6.3,NSW,,,,,,,,
Northern Sydney,5.8,NSW,,,,,,,,
Central Coast,7.2,NSW,,,,,,,,
Hunter New England,9.3,NSW,,,,,,,,
Northern NSW,6.4,NSW,,,,,,,,
Mid North Coast,8,NSW,,,,,,,,
Southern NSW,6.4,NSW,,,,,,,,
Murrumbidgee,5.8,NSW,,,,,,,,
Western NSW NSW,7.6,NSW,,,,,,,,
Far West West,15.2,NSW,,,,,,,,
